iter	MultiClass
154	0.4410337323
155	0.4408278531
156	0.4405467599
157	0.4403959722
158	0.439984278
159	0.4397290853
160	0.4392295118
161	0.4388957159
162	0.4386892652
163	0.4382976523
164	0.4382130939
165	0.4379884496
166	0.4378098696
167	0.4376516374
168	0.4375201822
169	0.437328258
170	0.4371893858
171	0.4370283433
172	0.4367077416
173	0.4362778199
174	0.4359265903
175	0.4358159678
176	0.4355883549
177	0.4353809474
178	0.4352922708
179	0.4349569924
180	0.4347577269
181	0.4346232164
182	0.4344727562
183	0.4343303325
184	0.4342060706
185	0.4341108478
186	0.4339524279
187	0.4338768095
188	0.4334566883
189	0.4332314711
190	0.4329060908
191	0.4326270832
192	0.4325268799
193	0.4323304676
194	0.4322144145
195	0.4318244506
196	0.4315034637
197	0.4313645074
198	0.4312663173
199	0.430916569
200	0.4306834737
201	0.4304099961
202	0.4302388372
203	0.4301414012
204	0.4299864761
205	0.4298660862
206	0.4297028902
207	0.4294458381
208	0.4293418817
209	0.4293033918
210	0.4291149882
211	0.4289656642
212	0.4287525895
213	0.4286742763
214	0.4285776657
215	0.4284245853
216	0.4283992147
217	0.4283072843
218	0.4282488461
219	0.4280745588
220	0.4278284639
221	0.4276661327
222	0.4274888075
223	0.4272605802
224	0.427219183
225	0.4270755281
226	0.4267638927
227	0.4265827992
228	0.4264840703
229	0.426374567
230	0.4262625707
231	0.4260528427
232	0.4258980174
233	0.4257778652
234	0.4257021194
235	0.425625844
236	0.4253822612
237	0.4253280046
238	0.4251626919
239	0.424948608
240	0.4248444055
241	0.4246726706
242	0.4245045567
243	0.4243093611
244	0.4241905762
245	0.4239195362
246	0.4237795565
247	0.4236769432
248	0.4236195209
249	0.4235092069
250	0.4233566556
251	0.4231982663
252	0.4230058896
253	0.4228719922
254	0.4227516996
255	0.4225782002
256	0.4224774014
257	0.4223005993
258	0.422227038
259	0.4220804736
260	0.4218868836
261	0.4218189654
262	0.4217210698
263	0.4216546559
264	0.4215640765
265	0.4215033275
266	0.4212909725
267	0.4212238592
268	0.4210983367
269	0.4209512166
270	0.420794387
271	0.420734505
272	0.4205951597
273	0.4204367529
274	0.420353027
275	0.4202360796
276	0.420185083
277	0.4201094654
278	0.4200380707
279	0.4199245355
280	0.4198746883
281	0.419754803
282	0.4196768152
283	0.4195687397
284	0.419487602
285	0.4194054531
286	0.4192594635
287	0.4191928162
288	0.4190676779
289	0.4188304787
290	0.4187870588
291	0.4187181114
292	0.4186714435
293	0.4186369266
294	0.4185915114
295	0.4185097359
296	0.418416969
297	0.4183527732
298	0.4182758569
299	0.4181072793
300	0.4180327384
301	0.4179574549
302	0.4178375691
303	0.4177833728
304	0.4177196761
305	0.4176077997
306	0.4174392233
307	0.4173587476
308	0.4171963363
309	0.4170690649
310	0.4169891308
311	0.4169419098
312	0.4169009729
313	0.4168080058
314	0.4167734513
315	0.4166610801
316	0.4166271761
317	0.4165314453
318	0.4164192679
319	0.4163146295
320	0.4161794878
321	0.4160123669
322	0.4159287741
323	0.4158898695
324	0.4158505387
325	0.4158043792
326	0.4157254662
327	0.4156348711
328	0.4155728256
329	0.4153897898
330	0.4152753011
331	0.4151210169
332	0.4150210433
333	0.4149068636
334	0.4148063287
335	0.4146750922
336	0.4144826454
337	0.4143532245
338	0.4142986821
339	0.4141699394
340	0.4140650554
341	0.4139605807
342	0.4139052893
343	0.4138428508
344	0.4137983196
345	0.4137172808
346	0.4136762727
347	0.4136073038
348	0.4135331209
349	0.4134592744
350	0.4134065108
351	0.4133844244
352	0.4133421724
353	0.4132605898
354	0.4131757747
355	0.4130666171
356	0.4130120224
357	0.4129396998
358	0.4128378991
359	0.4127944492
360	0.4127424676
361	0.4126806091
362	0.412622656
363	0.4125558142
364	0.412522874
365	0.4124316512
366	0.4124050357
367	0.412355942
368	0.4122974152
369	0.4122617542
370	0.4121328772
371	0.4120198299
372	0.4119590141
373	0.4118827369
374	0.4118438932
375	0.4117779755
376	0.4117309853
377	0.4117083939
378	0.4116159939
379	0.4115591769
380	0.4115076564
381	0.4113948976
382	0.4113398117
383	0.4112982981
384	0.4112089824
385	0.4110851504
386	0.4109024018
387	0.4108465078
388	0.4107421664
389	0.4106485157
390	0.4106364113
391	0.4105287773
392	0.4104391124
393	0.4103743618
394	0.4103179342
395	0.4102858035
396	0.4102264279
397	0.410081017
398	0.4099548802
399	0.4098406796
400	0.4097855909
401	0.4097387136
402	0.4096891124
403	0.4096464892
404	0.409610727
405	0.4095836103
406	0.4094861918
407	0.4093603118
408	0.4092983244
409	0.4091805648
410	0.4090986715
411	0.4090613835
412	0.4089756391
413	0.4089666694
414	0.4089561353
415	0.408878393
416	0.4087657258
417	0.4086884963
418	0.4086392383
419	0.4085364347
420	0.4084678021
421	0.4084173387
422	0.4083302629
423	0.4082607109
424	0.4081620573
425	0.408125125
426	0.4080451841
427	0.407969252
428	0.407906757
429	0.4078233363
430	0.4077927532
431	0.40761643
432	0.4075824375
433	0.40755804
434	0.4075112605
435	0.4073876565
436	0.4073200514
437	0.4072851853
438	0.4072379287
439	0.4071843093
440	0.4071090659
441	0.406985875
442	0.406930464
443	0.4068288714
444	0.4067466862
445	0.4067143462
446	0.4066762286
447	0.4066337059
448	0.406569005
449	0.4065428015
450	0.4064622691
451	0.4063196544
452	0.4062233203
453	0.40617447
454	0.4061175353
455	0.4060279605
456	0.4059939528
457	0.4059444014
458	0.4058960334
459	0.4058027279
460	0.4056940678
461	0.4056292439
462	0.4055345984
463	0.4054597092
464	0.4054116785
465	0.4053200589
466	0.4052768067
467	0.4052328982
468	0.4050760914
469	0.4050243167
470	0.4049837305
471	0.4049376849
472	0.404903726
473	0.4047713018
474	0.4047117368
475	0.4046884199
476	0.40464261
477	0.4045648857
478	0.4044763526
479	0.4044264716
480	0.4044162308
481	0.4044042984
482	0.4043586791
483	0.4042772512
484	0.4042325108
485	0.4041728186
486	0.4041175987
487	0.4040512462
488	0.4039773794
489	0.4039249271
490	0.4038710767
491	0.4038104467
492	0.4037868166
493	0.4037573303
494	0.403737668
495	0.4036888909
496	0.4035771852
497	0.4035568931
498	0.4035226399
499	0.4034065171
500	0.4033064917
501	0.4032533489
502	0.403197083
503	0.4031677561
504	0.4031435679
505	0.4030765063
506	0.4030544921
507	0.4030083988
508	0.4029938019
509	0.4029390238
510	0.4028542565
511	0.402829742
512	0.4027957488
513	0.4027371446
514	0.4027155851
515	0.4026131596
516	0.4025807991
517	0.4025243565
518	0.4024539733
519	0.4023852124
520	0.4022785986
521	0.4022428575
522	0.4021107809
523	0.4020742839
524	0.4020054503
525	0.4019685687
526	0.4019530999
527	0.4019142964
528	0.4018527633
529	0.4017343233
530	0.4016557212
531	0.4015951668
532	0.4015311995
533	0.4015055183
534	0.4014693517
535	0.4013608939
536	0.4013411997
537	0.4013084271
538	0.4011661097
539	0.4011098854
540	0.4010697277
541	0.4010464756
542	0.4010003343
543	0.4009742839
544	0.4009288558
545	0.4008251095
546	0.4007827473
547	0.4007324193
548	0.4007149936
549	0.4006811948
550	0.400631734
551	0.4005624931
552	0.4004981976
553	0.4004624509
554	0.4004312249
555	0.4003951543
556	0.4003706696
557	0.4002989761
558	0.4001884282
559	0.4001705287
560	0.4001189616
561	0.4000873923
562	0.4000737126
563	0.4000269575
564	0.3999776494
565	0.3999571645
566	0.3998981659
567	0.3998545826
568	0.3997546489
569	0.3997101683
570	0.3996875227
571	0.3996427012
572	0.3996231772
573	0.3995899031
574	0.3995731633
575	0.3994815121
576	0.3994572645
577	0.3993838067
578	0.3993610484
579	0.3993235817
580	0.3992816289
581	0.3992711205
582	0.3992455147
583	0.3991828957
584	0.3991446973
585	0.3990022604
586	0.3989313876
587	0.3988801978
588	0.3988105423
589	0.3987541957
590	0.3987276019
591	0.3986787185
592	0.3986415565
593	0.3985759417
594	0.3985519193
595	0.3985097831
596	0.3984734887
597	0.3984098394
598	0.3983870502
599	0.3982868835
600	0.3982802627
601	0.3982519811
602	0.3982154048
603	0.3981388081
604	0.398077052
605	0.3980453169
606	0.3980089756
607	0.397961472
608	0.3979466916
609	0.3979124432
610	0.3978594082
611	0.3977745928
612	0.3977525093
613	0.3977250517
614	0.3977025905
615	0.3976364297
616	0.3976054781
617	0.3975758186
618	0.3975479578
619	0.3974708766
620	0.3974275535
621	0.3973464195
622	0.3973074881
623	0.39728035
624	0.397229665
625	0.3971563105
626	0.3971139503
627	0.3970814143
628	0.3969749441
629	0.3969605967
630	0.3969071174
631	0.3967855365
632	0.3967285536
633	0.3966820243
634	0.3966735926
635	0.3966573818
636	0.3966433423
637	0.3966209184
638	0.3965556724
639	0.3965153916
640	0.3964233838
641	0.3962841892
642	0.3962503058
643	0.3962321625
644	0.3961388139
645	0.3960907236
646	0.3960460809
647	0.3959957199
648	0.3959618239
649	0.3958960189
650	0.3957859822
651	0.3957478705
652	0.3956642645
653	0.3956288827
654	0.3956038249
655	0.3955903821
656	0.3955521425
657	0.3955022342
658	0.3954848124
659	0.3954728312
660	0.3954296278
661	0.3954044182
662	0.3953674124
663	0.395346073
664	0.3953214653
665	0.3952689504
666	0.395233668
667	0.3951189296
668	0.3950704995
669	0.3950254227
670	0.394975091
671	0.3949319299
672	0.3948767153
673	0.3948050078
674	0.394721266
675	0.394708186
676	0.3946813763
677	0.3946550083
678	0.3946274202
679	0.3945731443
680	0.3945350204
681	0.3945041438
682	0.3944503362
683	0.3944136962
684	0.3943430059
685	0.3943119309
686	0.3942910896
687	0.3942336573
688	0.3941449564
689	0.3941208035
690	0.3940483932
691	0.3939556112
692	0.3939456625
693	0.3939072345
694	0.3938772362
695	0.3938195674
696	0.3937685325
697	0.3937447296
698	0.3937089017
699	0.3936918653
700	0.3936255366
701	0.3936029501
702	0.3935638609
703	0.393496641
704	0.3934883969
705	0.3934572615
706	0.3933926378
707	0.393375184
708	0.3933415931
709	0.3932903968
710	0.3932235016
711	0.3931639352
712	0.3931477979
713	0.3931239834
714	0.3931128535
715	0.393085664
716	0.3930020687
717	0.3929367374
718	0.3929116141
719	0.3928834761
720	0.3928601285
721	0.3928063782
722	0.3927252289
723	0.3927100048
724	0.3925998435
725	0.3925840271
726	0.3925434334
727	0.3924821649
728	0.3924633327
729	0.392408111
730	0.3923778628
731	0.3923262126
732	0.3922899472
733	0.392243507
734	0.3922182561
735	0.3921724334
736	0.39214449
737	0.3921266274
738	0.3921142891
739	0.3920630655
740	0.3920325465
741	0.3919980469
742	0.3919710302
743	0.3919393025
744	0.3918928882
745	0.3918410145
746	0.3918200952
747	0.3917982787
748	0.3917767538
749	0.3917325137
750	0.3917118368
751	0.3916869502
752	0.3916661657
753	0.3916542509
754	0.3915635836
755	0.391438946
756	0.3913982382
757	0.3913539545
758	0.391331863
759	0.3913076806
760	0.3912766809
761	0.391237741
762	0.3911893414
763	0.391176916
764	0.3911637128
765	0.3911103035
766	0.3910475087
767	0.3910349908
768	0.3909842362
769	0.3909653503
770	0.3909345523
771	0.3908729919
772	0.3908295862
773	0.3907583673
774	0.39069485
775	0.3906556732
776	0.3906292632
777	0.3906086336
778	0.3905942936
779	0.3905803802
780	0.3905479615
781	0.3905000443
782	0.3904701207
783	0.3904224647
784	0.3903766536
785	0.3903407999
786	0.3903253197
787	0.3902803355
788	0.3902594729
789	0.390195064
790	0.3901739716
791	0.390154696
792	0.3901332221
793	0.390125851
794	0.390111274
795	0.3900274927
796	0.3899472275
797	0.3899417258
798	0.3899235997
799	0.3898868013
800	0.3898438145
801	0.3898242862
802	0.3897813233
803	0.3897304912
804	0.3896764963
805	0.3896620215
806	0.3896036385
807	0.389594945
808	0.3895210678
809	0.3894567427
810	0.3894279106
811	0.3894057792
812	0.3893820788
813	0.3893502101
814	0.3893355
815	0.3893250252
816	0.3892590592
817	0.3892219308
818	0.3891259497
819	0.3891088449
820	0.389079127
821	0.3890328856
822	0.3890241954
823	0.3890123463
824	0.3889545846
825	0.3889451411
826	0.3888904615
827	0.3888670177
828	0.3888535277
829	0.3888350783
830	0.3887747171
831	0.3886984726
832	0.3886934921
833	0.3886560313
834	0.3886293517
835	0.3885989605
836	0.3885475543
837	0.3885381497
838	0.3885085127
839	0.3884836446
840	0.3884479009
841	0.3884252421
842	0.3883902948
843	0.3882989062
844	0.38823481
845	0.3881789417
846	0.3881676662
847	0.3881517902
848	0.3881252705
849	0.3880781683
850	0.3880548818
851	0.3880468744
852	0.3880038953
853	0.3879488164
854	0.3879130145
855	0.3879049362
856	0.3878302748
857	0.3878223746
858	0.3878183512
859	0.387775814
860	0.3877662043
861	0.387727011
862	0.3876746118
863	0.387648435
864	0.3876309336
865	0.3875343747
866	0.3875226829
867	0.3875118491
868	0.3874658817
869	0.3874201836
870	0.3873969184
871	0.3873691641
872	0.3873484823
873	0.3872758337
874	0.3872449447
875	0.3871961222
876	0.3870511525
877	0.3870146804
878	0.3869658983
879	0.3869293352
880	0.3868798062
881	0.386849355
882	0.3868338747
883	0.3868258092
884	0.386765508
885	0.3867459854
886	0.3867219905
887	0.3867072508
888	0.3866928848
889	0.3866678603
890	0.3866501944
891	0.386637797
892	0.3866007484
893	0.3865808428
894	0.3865506061
895	0.3865181545
896	0.3864624307
897	0.3864496771
898	0.3864303539
899	0.386417148
900	0.3863858116
901	0.3863558984
902	0.3863121628
903	0.3863001469
904	0.3862708056
905	0.3862344269
906	0.3861353604
907	0.3860972709
908	0.386080659
909	0.3860679706
910	0.3860147555
911	0.385990805
912	0.3859805035
913	0.3859412828
914	0.3858912557
915	0.3858190195
916	0.3858008008
917	0.3857639938
918	0.385728327
919	0.38570845
920	0.3856978243
921	0.3856445024
922	0.385609903
923	0.3855951318
924	0.3855532231
925	0.3855153685
926	0.3854904621
927	0.3854624548
928	0.3854245634
929	0.3854103263
930	0.3853900662
931	0.3853728279
932	0.3853420795
933	0.3853281512
934	0.3852558743
935	0.3852358363
936	0.3852120274
937	0.3851992946
938	0.3851582196
939	0.3851074962
940	0.3850873853
941	0.3850727405
942	0.3850575311
943	0.3850502389
944	0.3850351662
945	0.3850136262
946	0.3849985665
947	0.3849687794
948	0.3849103487
949	0.3848981394
950	0.384867955
951	0.3848624769
952	0.3848563652
953	0.3848228027
954	0.3847695668
955	0.3847487622
956	0.3847193304
957	0.3847088843
958	0.3846788468
959	0.3846396358
960	0.3846304728
961	0.3846188871
962	0.3845754846
963	0.3845311746
964	0.3845155831
965	0.3844564319
966	0.3844432089
967	0.3844162431
968	0.3844020487
969	0.3842902139
970	0.3842760043
971	0.3842639358
972	0.3842485396
973	0.3842260428
974	0.3842122996
975	0.3841703478
976	0.3841447057
977	0.3841319798
978	0.3841207278
979	0.3841066723
980	0.3841019514
981	0.3840801607
982	0.3840662082
983	0.3840507166
984	0.3840388072
985	0.3840157638
986	0.384005943
987	0.3839718798
988	0.3839454555
989	0.38389866
990	0.3838776315
991	0.3838493443
992	0.3838425113
993	0.3838096309
994	0.3837407271
995	0.3837119742
996	0.3836714983
997	0.3836412876
998	0.3836063222
999	0.3835610356
